flow_duration,total_fwd_packets,total_backward_packets,total_length_fwd_packets,total_length_bwd_packets,attack_label,bytes_per_sec,pkts_per_sec,fwd_to_bwd_ratio,protocol_other,protocol_tcp,protocol_udp,__perturbed
50,1,1,0,6,PortScan,0.12,0.04,0.5,False,True,False,0
42,1,1,0,6,PortScan,0.1428571428571428,0.0476190476190476,0.5,False,True,False,0
3,2,0,12,0,BENIGN,4.0,0.6666666666666666,2.0,False,True,False,0
42,1,1,6,6,BENIGN,0.2857142857142857,0.0476190476190476,0.5,False,True,False,0
49,2,0,4,0,BENIGN,0.0816326530612244,0.0408163265306122,2.0,False,True,False,0
261,2,2,94,452,BENIGN,2.0919540229885056,0.0153256704980842,0.6666666666666666,False,False,True,0
118039014,16,14,1048,4666,BENIGN,4.840772390728374e-05,2.5415325817614844e-07,1.0666666666666669,False,True,False,0
196,2,2,66,386,BENIGN,2.306122448979592,0.0204081632653061,0.6666666666666666,False,False,True,0
24165,3,4,127,231,BENIGN,0.014814814814814815,0.00028967515001034554,0.6,True,False,False,1
48,2,0,12,0,BENIGN,0.25,0.0416666666666666,2.0,False,True,False,0
30978283,54,64,1914,90433,BENIGN,0.0029810238353106,3.809120085835616e-06,0.8307692307692308,False,True,False,0
339,4,0,0,0,BENIGN,0.0,0.0117994100294985,4.0,False,True,False,0
9173905,5,0,19,0,DDoS,2.0710918632795956e-06,5.45024174547262e-07,5.0,False,True,False,1
5042507,7,4,617,164,BENIGN,0.0001548832753231,2.1814545820164456e-06,1.4,False,True,False,0
53,1,1,0,0,BENIGN,0.0,0.0377358490566037,0.5,False,True,False,0
115985634,16,14,446,979,BENIGN,1.2286004316707016e-05,2.586527224569898e-07,1.0666666666666669,False,True,False,0
30782,2,2,68,280,BENIGN,0.0113053082970567,0.0001299460723799,0.6666666666666666,False,False,True,0
62739,2,1,104,171,BENIGN,0.004383238495991329,4.781714722899632e-05,1.0,False,False,True,1
3,2,0,0,0,DoS Hulk,0.0,0.6666666666666666,2.0,False,True,False,0
3,3,0,7,0,BENIGN,2.3333333333333335,1.0,3.0,False,False,True,1
30425,1,1,46,74,BENIGN,0.0039441248972884,6.57354149548069e-05,0.5,False,False,True,0
222,2,2,92,248,BENIGN,1.5315315315315314,0.018018018018018,0.6666666666666666,False,False,True,0
202,2,2,76,108,BENIGN,0.9108910891089108,0.0198019801980198,0.6666666666666666,False,False,True,0
196,3,6,176,112,BENIGN,1.469387755102041,0.04591836734693878,0.42857142857142855,False,False,True,1
30916,2,2,68,262,BENIGN,0.0106740846163798,0.0001293828438349,0.6666666666666666,False,False,True,0
59426,2,0,12,0,BENIGN,0.0002019318143573,3.3655302392892e-05,2.0,False,True,False,0
95210,2,3,0,0,BENIGN,0.0,5.2515492070160695e-05,0.5,False,True,False,1
46942,1,1,48,113,BENIGN,0.0034297643900984,4.260576882109837e-05,0.5,False,False,True,0
3,2,0,12,0,BENIGN,4.0,0.6666666666666666,2.0,False,True,False,0
155,3,6,172,295,BENIGN,3.0129032258064514,0.05806451612903226,0.42857142857142855,False,True,False,1
197,2,2,74,138,BENIGN,1.076142131979695,0.0203045685279187,0.6666666666666666,False,False,True,0
1005059,4,6,367,11595,DoS Hulk,0.0119017888502068,9.949664646553088e-06,0.5714285714285714,False,True,False,0
31,2,1,37,6,BENIGN,1.3870967741935485,0.0967741935483871,1.0,False,True,False,0
106,3,0,0,0,BENIGN,0.0,0.02830188679245283,3.0,False,False,True,1
60704059,16,13,869,4368,BENIGN,8.627100207582495e-05,4.777275272482191e-07,1.1428571428571428,False,True,False,0
62092753,16,15,796,5672,BENIGN,0.0001041667455137,4.992531092960236e-07,1.0,False,True,False,0
157164,10,8,552,3939,BENIGN,0.0285752462395968,0.0001145300450484,1.1111111111111112,False,True,False,0
23746,1,1,74,202,BENIGN,0.01162301019119,8.4224711530363e-05,0.5,False,False,True,0
1245530,5,8,956,490,BENIGN,0.0011609515627885,1.0437323870159692e-05,0.5555555555555556,False,True,False,0
1,2,0,12,0,BENIGN,12.0,2.0,2.0,False,True,False,0
3077658,12,9,899,5800,BENIGN,0.0021766551059279,6.8233702380186496e-06,1.2,False,True,False,0
5275,3,1,18,0,BENIGN,0.0034123222748815,0.0007582938388625,1.5,False,True,False,0
955,2,0,6,0,BENIGN,0.006282722513089,0.0020942408376963,2.0,False,True,False,0
31142,1,5,125,205,BENIGN,0.010596621925374092,0.00019266585318861986,0.16666666666666666,False,True,False,1
5230845,3,1,12,0,BENIGN,2.294084416571318e-06,7.64694805523773e-07,1.5,False,True,False,0
51903,5,2,94,586,BENIGN,0.013101362156330077,0.0001348669633739861,1.6666666666666667,False,False,True,1
9119407,9,6,62,11601,DDoS,0.0012789208772017,1.6448437930229455e-06,1.2857142857142858,False,True,False,0
10647092,14,107,5641,3378,SSH-Patator,0.0008470857582521124,1.13646054716161e-05,0.12962962962962962,False,True,False,1
49,2,0,4,0,BENIGN,0.0816326530612244,0.0408163265306122,2.0,False,True,False,0
30464,1,1,47,63,BENIGN,0.003610819327731,6.565126050420168e-05,0.5,False,False,True,0
57,3,1,31,6,BENIGN,0.6491228070175439,0.0701754385964912,1.5,False,True,False,0
20749,1,0,0,0,BENIGN,0.0,4.8195093739457326e-05,1.0,False,True,False,1
74701964,8,5,56,11601,DDoS,0.0001560467673915,1.740248757047405e-07,1.3333333333333333,False,True,False,0
30892,1,1,46,62,BENIGN,0.0034960507574776,6.474168069403081e-05,0.5,False,False,True,0
9079153,9,15,97,188,FTP-Patator,3.139059337363298e-05,2.643418389358567e-06,0.5625,False,True,False,0
161,2,2,70,102,BENIGN,1.0683229813664596,0.0248447204968944,0.6666666666666666,False,False,True,0
100224718,9,6,594,11595,DoS Hulk,0.000121616705372,1.496636787743319e-07,1.2857142857142858,False,True,False,0
44,1,1,2,6,PortScan,0.1818181818181818,0.0454545454545454,0.5,False,True,False,0
176,2,2,62,94,BENIGN,0.8863636363636364,0.0227272727272727,0.6666666666666666,False,False,True,0
86108530,6,7,368,11595,DoS Hulk,0.0001389293255848,1.509722672074416e-07,0.75,False,True,False,0
74,1,1,2,6,PortScan,0.1081081081081081,0.027027027027027,0.5,False,True,False,0
1069524,4,1,76,200,BENIGN,0.0002580587251898976,4.674976905614086e-06,2.0,False,True,False,1
232,2,2,56,568,BENIGN,2.689655172413793,0.0172413793103448,0.6666666666666666,False,False,True,0
191,2,2,84,204,BENIGN,1.5078534031413613,0.0209424083769633,0.6666666666666666,False,False,True,0
434,1,1,57,142,BENIGN,0.4585253456221198,0.0046082949308755,0.5,False,False,True,0
75294948,4,11,930,7074,DoS Hulk,0.000106301952688778,1.992165530149513e-07,0.3333333333333333,False,True,False,1
173105,5,8,436,8064,BENIGN,0.0491031454897316,7.509892839606019e-05,0.5555555555555556,False,True,False,0
71357160,9,6,62,11601,DDoS,0.0001634454061792,2.1021015970927095e-07,1.2857142857142858,False,True,False,0
84583057,18,8,853,10161,DoS Hulk,0.00013021520373755231,3.073901668037371e-07,2.0,False,False,True,1
55,2,2,0,0,SSH-Patator,0.0,0.07272727272727272,0.6666666666666666,True,False,False,1
225,6,2,169,681,BENIGN,3.7777777777777777,0.035555555555555556,2.0,False,False,True,1
615,2,0,0,0,BENIGN,0.0,0.0032520325203252,2.0,False,True,False,0
3,2,0,12,0,BENIGN,4.0,0.6666666666666666,2.0,False,True,False,0
95420,1,1,0,0,BENIGN,0.0,2.0959966464053657e-05,0.5,False,True,False,0
8304263,1,3,6,29,BENIGN,4.214702737618016e-06,4.816803128706305e-07,0.25,False,True,False,0
114520,10,5,713,479,BENIGN,0.010408662242403,0.0001309814879497,1.6666666666666667,False,True,False,0
32336,1,1,42,385,BENIGN,0.0132050964868876,6.185056902523504e-05,0.5,False,False,True,0
189,2,2,66,98,BENIGN,0.8677248677248677,0.0211640211640211,0.6666666666666666,False,False,True,0
2137776,9,11,703,3950,BENIGN,0.0021765610615892,9.355517135565186e-06,0.75,False,True,False,0
41,1,1,12,0,DoS slowloris,0.2926829268292683,0.04878048780487805,0.5,True,False,False,1
204,4,2,47,451,BENIGN,2.4411764705882355,0.029411764705882353,1.3333333333333333,False,True,False,1
2610559,5,0,30,0,DDoS,1.1491791604786562e-05,1.9152986007977603e-06,5.0,False,True,False,0
55,1,1,0,0,BENIGN,0.0,0.0363636363636363,0.5,False,True,False,0
29,1,1,6,6,BENIGN,0.4137931034482758,0.0689655172413793,0.5,False,True,False,0
